File,Iteration,Duration_w_all_Columns,Num_op_w_all_columns,Number of error,Round,Rows-Column
7,0,176.25908099648768,0,0,0,61
6,1,277.98180699755903,0,0,1,61
7,1,279.45395100437054,0,0,1,61
6,2,183.5325940032817,0,0,2,61
7,2,166.4257439940684,0,0,2,61
6,3,207.3274449969631,0,0,3,61
7,3,192.32142500163718,0,0,3,61
6,4,1521.7086279997147,0,0,4,61
7,4,1461.193899000591,0,0,4,61
6,5,1297.061757005622,0,0,5,61
7,5,1251.1177039993981,0,0,5,61
6,6,1691.0081400083072,0,0,6,61
7,6,1286.024059000738,0,0,6,61
6,7,1046.9539299983808,0,0,7,61
7,7,776.0867050019442,0,0,7,61
6,8,203.1596739982433,0,0,8,61
7,8,399.38279099737883,0,0,8,61
6,9,884.615110005825,0,0,9,61
7,9,747.576986003196,0,0,9,61
6,10,1669.00744800364,0,0,10,61
7,10,1501.4695469967592,0,0,10,61
6,11,1136.5651780010921,0,0,11,61
7,11,1201.4520730047025,0,0,11,61
6,12,1134.3823380022968,0,0,12,61
7,12,923.0013850021805,0,0,12,61
6,13,1170.5960550007148,0,0,13,61
7,13,897.6027199969394,0,0,13,61
6,14,801.53046599753,0,0,14,61
7,14,627.6433630048359,0,0,14,61
6,15,466.3496790001318,0,0,15,61
7,15,398.5535340013939,0,0,15,61
6,16,1740.730687999303,0,0,16,61
7,16,1579.7952279956462,0,0,16,61
6,17,665.6677510009104,0,0,17,61
7,17,512.3006029978114,0,0,17,61
6,18,580.1631860069847,0,0,18,61
7,18,506.2794519969884,0,0,18,61
6,19,449.9482349910977,0,0,19,61
7,19,378.87098300416255,0,0,19,61
6,0,316.69920700437615,0,0,0,62
7,0,320.7891360057147,0,0,0,62
6,1,517.452063999599,0,0,1,62
7,1,278.2141379991572,0,0,1,62
6,2,259.49173099456857,0,0,2,62
7,2,209.47880199446445,0,0,2,62
6,3,317.3934780027139,0,0,3,62
7,3,248.47160700142013,0,0,3,62
6,4,512.3055799997474,0,0,4,62
7,4,331.6903800007367,0,0,4,62
6,5,496.30242600460406,0,0,5,62
7,5,527.8630629984491,0,0,5,62
6,6,1403.3262170012222,0,0,6,62
7,6,986.2275760026478,0,0,6,62
6,7,451.1922660035452,0,0,7,62
7,7,368.15355699741303,0,0,7,62
